station_id,name,lon,lat,elev_m,tzname,state
MLP,Mullan Pass,-115.671108,47.454818,1830.0652,America/Los_Angeles,ID
MAN,Nampa Mun,-116.5231,43.5813,771.0,America/Boise,ID
PIH,POCATELLO MUNICIPAL,-112.59592,42.90981,1365.0,America/Boise,ID
U10,Preston,-111.91257,42.1069361,1440.0,America/Boise,ID
RXE,REXBURG-MADISON COUNTY AIRPORT,-111.8051,43.83391,1481.0,America/Boise,ID
SMN,SALMON/LEMHI (AWOS),-113.88133,45.12378,1233.0,America/Boise,ID
SZT,SANDPOINT,-116.56,48.29944,648.0,America/Los_Angeles,ID
U78,SODA SPRINGS/TIGERT,-111.57994,42.64159,1780.0,America/Boise,ID
S14,SPENCER,-112.18333,44.35,1800.0,America/Boise,ID
SNT,Stanley Ranger Station,-114.92686182,44.1707859,1979.9354,America/Boise,ID
TWF,TWIN FALLS/JOSLIN,-114.48775,42.48181,1265.0,America/Boise,ID
ALN,ALTON/ST LOUIS R,-90.04599,38.88992,166.0,America/Chicago,IL
BLV,Belleville - Scott AFB,-89.85154075,38.54537139,134.0,America/Chicago,IL
BMI,BLOOMINGTON/NORM,-88.91592,40.47711,267.0,America/Chicago,IL
CPS,CAHOKIA/ST LOUIS,-90.15622,38.57073,126.0,America/Chicago,IL
CIR,Cairo,-89.2196,37.0647,97.8,America/Chicago,IL
MDH,CARBONDALE/MURPH,-89.25,37.78,130.0,America/Chicago,IL
CUL,Carmi,-88.1230611,38.0894792,118.0,America/Chicago,IL
ENL,CENTRALIA,-89.09114,38.51508,163.0,America/Chicago,IL
CMI,Champaign - Willard,-88.2755,40.0324,227.0,America/Chicago,IL
MDW,CHICAGO,-87.75242,41.78597,188.0,America/Chicago,IL
ARR,CHICAGO/AURORA,-88.48,41.77,215.0,America/Chicago,IL
